t=2026-06-06T20:11:12+0600 lvl=info msg="no configuration paths supplied"
t=2026-06-06T20:11:12+0600 lvl=info msg="using configuration at default config path" path=C:\\Users\\User\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-06-06T20:11:12+0600 lvl=info msg="open config file" path=C:\\Users\\User\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-06-06T20:11:12+0600 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-06T20:11:12+0600 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-06T20:11:13+0600 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-06T20:11:13+0600 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-06T20:23:01+0600 lvl=info msg="join connections" obj=join id=488b2ffc9af7 l=[::1]:5173 r=178.217.173.234:55990
t=2026-06-06T20:23:01+0600 lvl=info msg="join connections" obj=join id=1552fe3537ed l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:23:01+0600 lvl=info msg="join connections" obj=join id=83ffb9d8d409 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:23:02+0600 lvl=info msg="join connections" obj=join id=4d3663e3852c l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:23:15+0600 lvl=info msg="join connections" obj=join id=f4bd51c361bc l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:23:15+0600 lvl=info msg="join connections" obj=join id=7188cebd3492 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:23:15+0600 lvl=info msg="join connections" obj=join id=ef9c8e07d3c5 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:23:15+0600 lvl=info msg="join connections" obj=join id=a27676728adb l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:23:18+0600 lvl=info msg="join connections" obj=join id=8a12751a655c l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:23:19+0600 lvl=info msg="join connections" obj=join id=c5191289fd78 l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:23:19+0600 lvl=info msg="join connections" obj=join id=0b270bd848af l=[::1]:5173 r=46.251.201.162:61866
t=2026-06-06T20:23:19+0600 lvl=info msg="join connections" obj=join id=01a82aedf866 l=[::1]:5173 r=178.217.173.234:65264
t=2026-06-06T20:23:19+0600 lvl=info msg="join connections" obj=join id=a1b362b7cabe l=[::1]:5173 r=178.217.173.234:56014
t=2026-06-06T20:23:22+0600 lvl=info msg="join connections" obj=join id=4193d0d0bf14 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:23:22+0600 lvl=info msg="join connections" obj=join id=73e66513bdff l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:23:22+0600 lvl=info msg="join connections" obj=join id=cb6a056762ad l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:23:30+0600 lvl=info msg="join connections" obj=join id=5a42e5ac83d1 l=[::1]:5173 r=178.217.173.234:56030
t=2026-06-06T20:23:31+0600 lvl=info msg="join connections" obj=join id=e61b060be5e8 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:23:32+0600 lvl=info msg="join connections" obj=join id=237a4d49ee5d l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:23:32+0600 lvl=info msg="join connections" obj=join id=b958b02d412c l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:23:32+0600 lvl=info msg="join connections" obj=join id=79cdf72a34ea l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:23:32+0600 lvl=info msg="join connections" obj=join id=20755b927dee l=[::1]:5173 r=178.217.173.234:61613
t=2026-06-06T20:23:32+0600 lvl=info msg="join connections" obj=join id=ae911f02a253 l=[::1]:5173 r=46.251.201.162:61867
t=2026-06-06T20:23:34+0600 lvl=info msg="join connections" obj=join id=e24bb4e45ca0 l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:23:34+0600 lvl=info msg="join connections" obj=join id=e2d816130dc5 l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:23:39+0600 lvl=info msg="join connections" obj=join id=1b8626f60d4b l=[::1]:5173 r=178.217.173.234:56049
t=2026-06-06T20:23:39+0600 lvl=info msg="join connections" obj=join id=6346a41260be l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:23:40+0600 lvl=info msg="join connections" obj=join id=2fbb478e0ba2 l=[::1]:5173 r=46.251.201.162:61868
t=2026-06-06T20:23:40+0600 lvl=info msg="join connections" obj=join id=dc9e2fcabe8a l=[::1]:5173 r=46.251.201.162:61852
